record_id,entity_name,status,priority,assigned_region,last_updated
INF-2827,Charlie Corp,Resolved,High,New York,2025-03-17T03:56:09.768480Z
INF-3399,Jack Corp,Pending,Low,Singapore,2025-11-10T08:56:09.768519Z
INF-7815,Charlie Corp,Active,Critical,Tokyo,2025-08-05T02:56:09.768538Z
INF-7044,Karen Corp,Requires Action,Critical,Dubai,2025-12-27T18:56:09.768553Z
INF-9000,Bob Corp,Resolved,High,Dubai,2025-06-04T16:56:09.768568Z
INF-6515,Bob Corp,Failed,Low,London,2025-10-24T10:56:09.768583Z
INF-7641,Karen Corp,Active,High,Berlin,2025-06-05T20:56:09.768598Z
INF-2676,Hank Corp,Failed,Low,Singapore,2025-05-18T22:56:09.768613Z
INF-7196,Eve Corp,Pending,High,Singapore,2025-09-09T10:56:09.768626Z
INF-9921,Hank Corp,Active,Medium,London,2025-06-14T09:56:09.768640Z
INF-2147,Eve Corp,Requires Action,High,Dubai,2025-06-07T06:56:09.768653Z
INF-6739,Alice Corp,Pending,High,Sydney,2025-09-26T01:56:09.768668Z
INF-9178,Alice Corp,Failed,Medium,Singapore,2026-02-04T19:56:09.768682Z
INF-3731,Ivy Corp,Pending,Medium,London,2025-11-30T17:56:09.768696Z
INF-7423,Eve Corp,Requires Action,Critical,Singapore,2025-08-13T12:56:09.768709Z
INF-6656,Diana Corp,Resolved,Low,New York,2025-10-30T05:56:09.768723Z
INF-5674,Eve Corp,In Progress,Critical,London,2025-04-09T02:56:09.768735Z
INF-1379,Eve Corp,Closed,Critical,Toronto,2026-01-12T12:56:09.768749Z
INF-6916,Eve Corp,Active,Low,Sydney,2025-10-24T22:56:09.768763Z
INF-9678,Ivy Corp,Closed,Critical,Toronto,2025-08-16T13:56:09.768777Z
INF-7452,Bob Corp,Active,Low,Berlin,2025-12-10T10:56:09.768791Z
INF-3115,Jack Corp,Failed,High,New York,2025-06-17T11:56:09.768804Z
INF-8412,Karen Corp,Closed,Critical,Dubai,2025-06-25T15:56:09.768818Z
INF-7758,Hank Corp,Closed,High,Berlin,2025-11-24T12:56:09.768832Z
INF-5067,Alice Corp,Requires Action,Medium,Toronto,2025-05-09T13:56:09.768846Z
INF-6184,Alice Corp,Closed,Medium,Toronto,2025-11-13T22:56:09.768859Z
INF-8958,Charlie Corp,Pending,Critical,Singapore,2025-07-04T04:56:09.768872Z
INF-3851,Diana Corp,Active,Medium,New York,2026-01-31T00:56:09.768885Z
INF-5808,Bob Corp,Closed,Critical,Berlin,2026-02-10T04:56:09.768898Z
INF-3626,Leo Corp,Pending,Medium,Sydney,2026-01-04T14:56:09.768911Z
INF-4609,Bob Corp,Failed,Low,Dubai,2025-04-30T18:56:09.768925Z
INF-4950,Ivy Corp,Resolved,Medium,Berlin,2025-12-04T21:56:09.768938Z
INF-5393,Ivy Corp,Pending,Medium,Singapore,2025-03-20T15:56:09.768951Z
