record_id,entity_name,status,priority,assigned_region,last_updated
TAX-8514,Eve Corp,Active,Low,Berlin,2026-02-20T00:56:09.848388Z
TAX-7945,Grace Corp,Closed,Medium,Dubai,2025-10-23T16:56:09.848644Z
TAX-3383,Eve Corp,Resolved,High,Tokyo,2025-11-16T03:56:09.848662Z
TAX-1824,Charlie Corp,Closed,Low,Singapore,2025-10-14T15:56:09.848674Z
TAX-9667,Ivy Corp,Closed,Critical,Toronto,2026-01-10T08:56:09.848688Z
TAX-4170,Alice Corp,Pending,Low,Toronto,2025-10-31T14:56:09.850520Z
TAX-3023,Grace Corp,Resolved,Critical,New York,2025-03-25T08:56:09.850597Z
TAX-6795,Grace Corp,Active,High,Sydney,2025-03-31T23:56:09.850614Z
TAX-2621,Jack Corp,Active,Critical,Berlin,2025-11-16T22:56:09.850627Z
TAX-4681,Leo Corp,Active,Medium,Sydney,2025-04-20T17:56:09.850640Z
TAX-1778,Jack Corp,In Progress,Critical,Singapore,2025-05-23T15:56:09.850651Z
TAX-3857,Charlie Corp,Closed,Medium,London,2025-10-04T18:56:09.850662Z
TAX-8651,Frank Corp,Pending,Critical,Dubai,2025-10-10T23:56:09.850676Z
TAX-6102,Jack Corp,In Progress,Medium,New York,2026-02-08T07:56:09.850689Z
TAX-5599,Eve Corp,Closed,Low,Tokyo,2025-06-17T12:56:09.850701Z
TAX-7729,Karen Corp,Resolved,High,New York,2025-06-13T22:56:09.850712Z
TAX-9895,Grace Corp,Active,Medium,New York,2026-03-02T16:56:09.850723Z
TAX-4945,Leo Corp,Requires Action,Critical,Dubai,2026-01-09T14:56:09.850734Z
TAX-9908,Charlie Corp,Active,High,Berlin,2025-05-29T08:56:09.850745Z
TAX-5595,Diana Corp,Resolved,Low,Dubai,2026-01-29T17:56:09.850755Z
TAX-4492,Karen Corp,In Progress,High,Dubai,2025-09-08T12:56:09.850766Z
TAX-1053,Charlie Corp,Failed,Medium,New York,2025-06-19T21:56:09.850778Z
TAX-6634,Ivy Corp,Pending,Medium,Toronto,2025-06-18T18:56:09.850790Z
TAX-5705,Grace Corp,Closed,Critical,London,2025-09-22T17:56:09.850802Z
TAX-6560,Bob Corp,In Progress,High,Dubai,2026-02-24T03:56:09.850813Z
TAX-5620,Leo Corp,In Progress,Medium,Toronto,2025-04-11T05:56:09.850824Z
TAX-5814,Bob Corp,Resolved,High,Sydney,2025-07-22T07:56:09.850835Z
TAX-3521,Grace Corp,Resolved,High,Dubai,2025-06-25T01:56:09.850847Z
TAX-2815,Charlie Corp,Requires Action,Critical,Singapore,2025-03-24T14:56:09.850860Z
TAX-2445,Alice Corp,Resolved,Critical,Dubai,2025-12-20T08:56:09.850872Z
TAX-2520,Eve Corp,In Progress,Low,Toronto,2025-10-06T19:56:09.850883Z
TAX-1456,Leo Corp,In Progress,Low,Sydney,2025-12-28T13:56:09.850896Z
TAX-2784,Frank Corp,Pending,High,Dubai,2026-01-03T12:56:09.850908Z
