record_id,entity_name,status,priority,assigned_region,last_updated
UTI-3988,Hank Corp,Active,Low,New York,2025-07-08T19:56:09.867579Z
UTI-7064,Jack Corp,In Progress,Critical,London,2025-11-06T10:56:09.867621Z
UTI-5491,Grace Corp,Closed,Medium,Tokyo,2026-01-24T16:56:09.867639Z
UTI-9919,Alice Corp,Active,Medium,Singapore,2025-10-15T00:56:09.867655Z
UTI-7637,Leo Corp,Requires Action,Low,Toronto,2025-08-14T09:56:09.867670Z
UTI-4295,Eve Corp,Active,Low,Singapore,2026-02-24T17:56:09.867684Z
UTI-6962,Jack Corp,Failed,High,Dubai,2025-09-28T23:56:09.867697Z
UTI-2163,Grace Corp,Active,Low,Toronto,2025-09-19T06:56:09.867711Z
UTI-1230,Charlie Corp,Requires Action,Medium,Singapore,2025-10-25T17:56:09.867724Z
UTI-9180,Hank Corp,Requires Action,High,London,2026-01-03T23:56:09.867737Z
UTI-9772,Frank Corp,In Progress,High,Dubai,2025-10-20T01:56:09.867751Z
UTI-1695,Jack Corp,Requires Action,Low,Tokyo,2025-11-01T05:56:09.867764Z
UTI-2832,Karen Corp,In Progress,Medium,London,2025-03-29T21:56:09.867777Z
UTI-2008,Alice Corp,Failed,High,New York,2025-12-11T16:56:09.867791Z
UTI-4305,Diana Corp,Requires Action,Critical,Berlin,2026-02-06T19:56:09.867804Z
UTI-7716,Ivy Corp,Pending,High,New York,2025-07-11T01:56:09.867818Z
UTI-6316,Karen Corp,Pending,Medium,London,2025-10-04T01:56:09.867831Z
UTI-8971,Jack Corp,Failed,High,Sydney,2025-05-04T04:56:09.867845Z
UTI-3646,Diana Corp,In Progress,Low,Singapore,2025-10-17T17:56:09.867858Z
UTI-5525,Leo Corp,Pending,Medium,London,2025-04-01T19:56:09.867874Z
UTI-4466,Diana Corp,Resolved,High,Sydney,2025-08-22T17:56:09.867888Z
UTI-8575,Leo Corp,In Progress,Low,New York,2025-04-23T04:56:09.867900Z
UTI-1865,Diana Corp,In Progress,Low,Berlin,2025-10-17T01:56:09.867913Z
UTI-9482,Hank Corp,Requires Action,Medium,Toronto,2025-09-14T20:56:09.867926Z
UTI-4219,Diana Corp,Requires Action,Medium,Sydney,2025-09-17T10:56:09.867939Z
UTI-4804,Diana Corp,Resolved,High,New York,2026-03-09T02:56:09.867952Z
UTI-5624,Charlie Corp,Pending,Critical,Tokyo,2025-09-14T03:56:09.867966Z
UTI-5954,Frank Corp,Closed,Low,New York,2025-05-16T09:56:09.867978Z
UTI-2216,Bob Corp,Requires Action,Medium,London,2025-05-25T20:56:09.867990Z
UTI-7849,Bob Corp,Closed,Low,New York,2025-03-17T05:56:09.868003Z
UTI-6122,Charlie Corp,Resolved,Medium,Berlin,2025-05-30T00:56:09.868016Z
UTI-5935,Jack Corp,Closed,Critical,Sydney,2025-12-07T00:56:09.868028Z
UTI-3734,Bob Corp,In Progress,High,New York,2025-07-17T22:56:09.868041Z
UTI-3270,Hank Corp,In Progress,Medium,Toronto,2025-04-11T08:56:09.868054Z
UTI-5574,Bob Corp,Active,Critical,Berlin,2025-04-07T13:56:09.868067Z
UTI-2234,Bob Corp,Pending,Critical,London,2025-07-08T08:56:09.868080Z
UTI-9455,Jack Corp,Failed,High,Dubai,2025-09-16T13:56:09.868092Z
UTI-5976,Eve Corp,Resolved,High,Berlin,2025-09-13T16:56:09.868105Z
UTI-5540,Bob Corp,Requires Action,Low,New York,2026-01-30T17:56:09.868117Z
UTI-8832,Leo Corp,Closed,Medium,Berlin,2025-11-10T21:56:09.868130Z
UTI-8587,Karen Corp,Resolved,Medium,London,2025-07-10T18:56:09.868142Z
UTI-2290,Grace Corp,Active,High,Tokyo,2026-01-18T16:56:09.868157Z
UTI-2535,Jack Corp,In Progress,High,London,2025-09-09T11:56:09.868169Z
UTI-6551,Hank Corp,Failed,High,London,2025-06-17T05:56:09.868181Z
UTI-6125,Ivy Corp,In Progress,Critical,New York,2026-01-10T12:56:09.868195Z
UTI-7863,Charlie Corp,Failed,Low,Toronto,2025-09-23T09:56:09.868207Z
UTI-5494,Hank Corp,In Progress,Medium,Sydney,2025-12-13T23:56:09.868219Z
UTI-3680,Karen Corp,Active,Low,Sydney,2025-06-03T09:56:09.868232Z
UTI-5742,Eve Corp,Requires Action,Low,Tokyo,2025-03-20T22:56:09.868245Z
UTI-9503,Leo Corp,Pending,High,Singapore,2025-07-07T01:56:09.868258Z
UTI-5184,Diana Corp,Closed,Critical,New York,2026-02-17T03:56:09.868271Z
UTI-6257,Frank Corp,Resolved,Medium,Singapore,2026-01-02T10:56:09.868286Z
UTI-7316,Hank Corp,Failed,High,Berlin,2026-02-18T08:56:09.868300Z
UTI-2211,Bob Corp,Pending,High,New York,2025-07-23T19:56:09.868314Z
UTI-9848,Ivy Corp,Active,Medium,Singapore,2025-12-22T23:56:09.868327Z
UTI-7782,Ivy Corp,Active,Critical,Berlin,2025-04-25T09:56:09.868340Z
UTI-7030,Hank Corp,Requires Action,High,London,2025-04-19T00:56:09.868354Z
UTI-2912,Hank Corp,Closed,Low,Sydney,2025-12-17T02:56:09.868367Z
UTI-9993,Hank Corp,In Progress,Medium,London,2025-08-07T01:56:09.868381Z
UTI-5277,Jack Corp,Failed,Critical,Singapore,2025-10-30T07:56:09.868394Z
UTI-3855,Karen Corp,Closed,Critical,Tokyo,2025-10-09T03:56:09.868408Z
UTI-3130,Alice Corp,Active,Medium,Berlin,2025-11-04T15:56:09.868421Z
UTI-5443,Hank Corp,Pending,High,Sydney,2025-10-23T14:56:09.868435Z
UTI-4482,Grace Corp,Active,High,New York,2025-07-31T05:56:09.868448Z
UTI-9617,Leo Corp,Requires Action,Medium,Dubai,2025-06-30T06:56:09.868462Z
UTI-3887,Hank Corp,Requires Action,Critical,London,2025-10-16T23:56:09.868480Z
UTI-6411,Diana Corp,Resolved,Critical,Berlin,2025-05-28T09:56:09.868494Z
UTI-7532,Leo Corp,Failed,Critical,Berlin,2025-07-27T08:56:09.868508Z
UTI-9221,Hank Corp,Pending,Low,London,2025-10-18T14:56:09.868522Z
UTI-9788,Frank Corp,Requires Action,Medium,Tokyo,2025-06-10T00:56:09.868536Z
UTI-3380,Jack Corp,Active,Medium,New York,2026-03-08T16:56:09.868549Z
UTI-6768,Eve Corp,Resolved,High,Tokyo,2025-10-10T15:56:09.868562Z
UTI-8342,Eve Corp,Active,Low,Dubai,2025-06-20T02:56:09.868575Z
UTI-5399,Hank Corp,Closed,Medium,Dubai,2025-03-11T22:56:09.868589Z
UTI-1562,Diana Corp,Closed,Medium,Dubai,2026-02-26T07:56:09.868603Z
UTI-9941,Karen Corp,Pending,Critical,London,2026-01-15T14:56:09.868617Z
UTI-8455,Jack Corp,Failed,Critical,Berlin,2025-07-29T08:56:09.868631Z
UTI-5638,Jack Corp,Pending,Medium,Sydney,2026-01-07T15:56:09.868649Z
UTI-2603,Grace Corp,Active,High,Tokyo,2025-09-03T19:56:09.868663Z
UTI-4892,Frank Corp,Failed,Critical,Berlin,2025-11-18T04:56:09.868676Z
UTI-1637,Bob Corp,Closed,Critical,London,2025-08-17T20:56:09.868689Z
UTI-5751,Diana Corp,Active,Critical,Tokyo,2025-12-15T06:56:09.868703Z
UTI-7274,Diana Corp,Pending,High,New York,2026-01-20T00:56:09.868716Z
UTI-6926,Karen Corp,Failed,Critical,London,2025-11-15T12:56:09.868730Z
UTI-6702,Diana Corp,Failed,Low,Sydney,2025-05-07T10:56:09.868743Z
UTI-8469,Alice Corp,Pending,Medium,Singapore,2025-08-18T13:56:09.868757Z
UTI-7940,Eve Corp,In Progress,High,Toronto,2025-10-08T14:56:09.868770Z
UTI-8170,Jack Corp,In Progress,Low,Singapore,2025-09-08T15:56:09.868784Z
UTI-3436,Jack Corp,Requires Action,High,Berlin,2025-08-31T11:56:09.868797Z
UTI-2641,Bob Corp,Pending,Critical,Tokyo,2025-06-13T22:56:09.868811Z
UTI-6688,Ivy Corp,Resolved,Critical,Tokyo,2025-07-15T01:56:09.868824Z
UTI-6414,Charlie Corp,Active,Low,Singapore,2025-06-11T04:56:09.868837Z
UTI-8437,Bob Corp,Requires Action,High,Tokyo,2025-10-17T03:56:09.868851Z
UTI-4855,Eve Corp,Pending,High,Toronto,2025-09-10T23:56:09.868865Z
UTI-5599,Grace Corp,Resolved,Medium,London,2025-09-17T22:56:09.868879Z
UTI-2917,Alice Corp,Pending,Low,New York,2025-12-19T03:56:09.868892Z
UTI-8671,Karen Corp,Active,Low,Tokyo,2025-06-04T20:56:09.868905Z
UTI-8943,Frank Corp,Pending,Medium,Singapore,2025-10-28T18:56:09.868919Z
UTI-3189,Diana Corp,Failed,Low,New York,2025-05-14T18:56:09.868933Z
UTI-9147,Charlie Corp,Active,High,Sydney,2026-02-19T06:56:09.868947Z
