record_id,entity_name,status,priority,assigned_region,last_updated
LOG-6439,Jack Corp,Closed,Low,London,2026-01-24T16:56:09.786772Z
LOG-4857,Bob Corp,Active,Medium,London,2025-03-29T14:56:09.786815Z
LOG-6850,Grace Corp,Active,Medium,Toronto,2026-02-27T20:56:09.786835Z
LOG-9866,Bob Corp,In Progress,Low,Singapore,2025-07-20T11:56:09.786851Z
LOG-4117,Ivy Corp,Active,High,Dubai,2025-11-28T09:56:09.786867Z
LOG-7419,Charlie Corp,Requires Action,Medium,Berlin,2025-12-05T18:56:09.786882Z
LOG-6186,Frank Corp,Closed,Medium,Sydney,2025-10-09T23:56:09.786899Z
LOG-5276,Leo Corp,Requires Action,High,New York,2025-07-13T10:56:09.786915Z
LOG-7046,Diana Corp,Resolved,High,New York,2026-01-21T12:56:09.786929Z
LOG-8200,Bob Corp,Active,Low,London,2025-10-19T01:56:09.786943Z
LOG-1639,Grace Corp,Closed,Medium,Singapore,2025-08-13T23:56:09.786957Z
LOG-5595,Jack Corp,Active,High,New York,2026-01-10T18:56:09.786972Z
LOG-2423,Diana Corp,Requires Action,High,Tokyo,2026-01-09T03:56:09.786985Z
LOG-4004,Hank Corp,Closed,Critical,Berlin,2025-07-10T14:56:09.786998Z
LOG-3180,Frank Corp,Closed,Medium,Berlin,2026-01-05T22:56:09.787012Z
LOG-8027,Leo Corp,Closed,Low,London,2026-01-13T09:56:09.787026Z
LOG-8731,Ivy Corp,Requires Action,Critical,Dubai,2025-08-29T10:56:09.787038Z
LOG-2941,Diana Corp,Closed,High,Dubai,2026-02-25T21:56:09.787051Z
LOG-3263,Alice Corp,In Progress,Low,London,2025-12-26T07:56:09.787064Z
LOG-2829,Charlie Corp,In Progress,Medium,Tokyo,2025-11-29T22:56:09.787078Z
LOG-5346,Eve Corp,Failed,Critical,New York,2025-11-10T14:56:09.787091Z
LOG-9626,Diana Corp,Active,Critical,Sydney,2025-12-17T05:56:09.787106Z
LOG-3700,Grace Corp,Requires Action,Critical,Sydney,2025-11-08T00:56:09.787119Z
LOG-5185,Eve Corp,Closed,Critical,New York,2025-09-23T02:56:09.787133Z
LOG-5050,Jack Corp,Resolved,Low,Toronto,2025-10-21T19:56:09.787148Z
LOG-2231,Jack Corp,Resolved,Low,Sydney,2026-02-26T20:56:09.787162Z
LOG-6044,Alice Corp,Resolved,Low,London,2026-01-21T00:56:09.787176Z
LOG-1070,Diana Corp,Pending,Low,Dubai,2025-06-18T14:56:09.787189Z
LOG-7173,Grace Corp,Failed,Low,London,2025-03-16T21:56:09.787203Z
LOG-1382,Karen Corp,Requires Action,High,Toronto,2025-08-04T13:56:09.787218Z
LOG-7610,Hank Corp,Failed,Low,Toronto,2025-05-30T05:56:09.787231Z
LOG-6895,Ivy Corp,Closed,High,Tokyo,2025-03-16T17:56:09.787245Z
LOG-6010,Charlie Corp,Pending,High,New York,2026-03-07T13:56:09.787259Z
LOG-5125,Hank Corp,Requires Action,Critical,London,2025-04-20T14:56:09.787274Z
LOG-5985,Bob Corp,Pending,High,Tokyo,2025-04-18T11:56:09.787288Z
LOG-7693,Leo Corp,Resolved,Medium,London,2025-08-28T11:56:09.787301Z
LOG-3040,Karen Corp,In Progress,Critical,Singapore,2025-06-29T13:56:09.787315Z
LOG-3589,Alice Corp,Failed,Medium,Berlin,2025-11-24T18:56:09.787328Z
LOG-9486,Charlie Corp,Pending,Low,Dubai,2025-11-18T06:56:09.787341Z
LOG-4903,Bob Corp,In Progress,High,Toronto,2025-11-28T17:56:09.787355Z
LOG-6217,Leo Corp,Requires Action,Critical,Sydney,2025-09-14T01:56:09.787368Z
