record_id,entity_name,status,priority,assigned_region,last_updated
JOU-5616,Grace Corp,Failed,Critical,Toronto,2025-10-11T13:56:09.777167Z
JOU-5735,Karen Corp,Failed,Low,London,2025-06-01T17:56:09.777209Z
JOU-4110,Grace Corp,Active,Critical,Berlin,2025-07-04T21:56:09.777228Z
JOU-1465,Eve Corp,Active,Critical,Tokyo,2025-09-16T05:56:09.777245Z
JOU-5313,Eve Corp,Pending,High,New York,2025-03-21T13:56:09.777261Z
JOU-7729,Grace Corp,Pending,Critical,Berlin,2026-02-04T22:56:09.777277Z
JOU-5083,Eve Corp,Active,High,Berlin,2025-08-05T08:56:09.777292Z
JOU-8788,Hank Corp,Active,High,Berlin,2025-11-26T23:56:09.777308Z
JOU-2068,Ivy Corp,Closed,Medium,New York,2025-12-18T12:56:09.777322Z
JOU-7658,Hank Corp,Active,Low,Sydney,2025-04-08T18:56:09.777337Z
JOU-2870,Grace Corp,Failed,Low,Berlin,2025-05-08T06:56:09.777352Z
JOU-7057,Bob Corp,Resolved,Medium,Toronto,2025-06-17T09:56:09.777368Z
JOU-7022,Ivy Corp,Active,Low,Berlin,2025-12-15T02:56:09.777385Z
JOU-6827,Charlie Corp,Closed,High,Sydney,2025-12-24T00:56:09.777400Z
JOU-9564,Alice Corp,Requires Action,Medium,New York,2026-01-01T22:56:09.777433Z
JOU-1337,Hank Corp,Pending,High,Tokyo,2025-07-07T07:56:09.777556Z
JOU-9957,Frank Corp,Closed,Critical,Dubai,2025-05-30T18:56:09.777687Z
JOU-3936,Eve Corp,Resolved,Critical,Tokyo,2025-07-26T03:56:09.777738Z
JOU-1486,Grace Corp,Resolved,Low,Tokyo,2026-01-09T01:56:09.777754Z
JOU-4141,Jack Corp,In Progress,Critical,Tokyo,2025-12-31T01:56:09.777766Z
JOU-8472,Leo Corp,In Progress,Medium,London,2025-08-18T14:56:09.777778Z
JOU-8749,Karen Corp,Active,Low,Toronto,2025-05-04T07:56:09.777789Z
JOU-1032,Bob Corp,Failed,Critical,Singapore,2025-04-13T22:56:09.777803Z
JOU-9913,Grace Corp,Requires Action,Medium,Singapore,2025-10-13T11:56:09.777813Z
JOU-8645,Leo Corp,Resolved,Low,Singapore,2025-07-22T12:56:09.777825Z
JOU-3971,Hank Corp,In Progress,Critical,London,2026-01-17T15:56:09.777837Z
JOU-2994,Ivy Corp,Failed,Medium,Dubai,2025-07-05T03:56:09.777848Z
JOU-1902,Frank Corp,Pending,High,New York,2025-04-03T18:56:09.777860Z
JOU-5937,Ivy Corp,In Progress,Critical,Berlin,2025-07-27T08:56:09.777874Z
JOU-9541,Diana Corp,Requires Action,Critical,Berlin,2025-11-13T13:56:09.777886Z
JOU-6715,Hank Corp,Resolved,Critical,Berlin,2025-10-19T22:56:09.777900Z
JOU-4495,Grace Corp,Closed,Low,New York,2025-03-24T03:56:09.777914Z
JOU-3481,Alice Corp,Active,Medium,Toronto,2025-07-08T23:56:09.777927Z
JOU-2524,Charlie Corp,Resolved,Critical,Toronto,2025-09-14T17:56:09.777939Z
JOU-1463,Eve Corp,Resolved,Medium,New York,2025-07-09T20:56:09.777951Z
JOU-5600,Alice Corp,Requires Action,Low,Sydney,2025-10-19T03:56:09.777963Z
JOU-7063,Frank Corp,Closed,Medium,Toronto,2025-08-04T22:56:09.777975Z
JOU-4925,Karen Corp,Resolved,Medium,London,2025-12-12T07:56:09.777983Z
JOU-3414,Jack Corp,Failed,Medium,Sydney,2025-07-05T08:56:09.777991Z
JOU-7805,Frank Corp,Pending,Critical,Singapore,2025-10-30T13:56:09.777999Z
JOU-4212,Eve Corp,Failed,Critical,Dubai,2025-11-02T07:56:09.778007Z
JOU-4428,Leo Corp,Active,Critical,Berlin,2025-07-03T03:56:09.778015Z
JOU-8821,Ivy Corp,Requires Action,Low,Berlin,2025-08-21T15:56:09.778023Z
JOU-3654,Eve Corp,Active,Critical,Dubai,2025-09-30T16:56:09.778031Z
JOU-6185,Alice Corp,Closed,Critical,Singapore,2025-12-04T03:56:09.778038Z
JOU-4403,Alice Corp,Pending,Medium,Sydney,2025-09-16T23:56:09.778046Z
JOU-4270,Diana Corp,Requires Action,Low,Dubai,2025-09-10T16:56:09.778054Z
JOU-7062,Frank Corp,Active,Medium,Toronto,2026-02-14T05:56:09.778061Z
JOU-4440,Eve Corp,Active,Medium,New York,2025-08-09T10:56:09.778069Z
JOU-2623,Grace Corp,Resolved,Low,London,2026-03-07T17:56:09.778076Z
JOU-6887,Charlie Corp,Failed,High,Tokyo,2025-12-29T10:56:09.778084Z
JOU-1105,Hank Corp,In Progress,Low,Singapore,2025-08-13T19:56:09.778092Z
JOU-4351,Grace Corp,Closed,Medium,Sydney,2025-11-08T19:56:09.778100Z
JOU-1226,Jack Corp,Active,High,Berlin,2025-07-12T16:56:09.778108Z
JOU-2535,Diana Corp,In Progress,High,Singapore,2026-01-04T12:56:09.778119Z
JOU-3425,Eve Corp,Failed,Critical,Singapore,2025-09-01T13:56:09.778130Z
JOU-6804,Diana Corp,In Progress,High,Dubai,2025-11-07T08:56:09.778143Z
JOU-3115,Karen Corp,Pending,Low,London,2025-05-16T07:56:09.778156Z
JOU-7490,Jack Corp,Closed,Medium,London,2025-04-19T13:56:09.778167Z
JOU-6846,Alice Corp,Failed,High,Sydney,2025-04-11T09:56:09.778180Z
JOU-6211,Leo Corp,Requires Action,Low,Toronto,2025-06-01T16:56:09.778191Z
JOU-2888,Karen Corp,Failed,High,Tokyo,2025-05-09T12:56:09.778204Z
JOU-6163,Hank Corp,In Progress,Low,Singapore,2025-04-06T03:56:09.778218Z
JOU-3407,Frank Corp,Resolved,High,New York,2025-10-28T19:56:09.778231Z
JOU-2661,Ivy Corp,Failed,Low,Toronto,2025-04-03T02:56:09.778246Z
JOU-7219,Charlie Corp,Failed,Low,London,2025-04-08T03:56:09.778264Z
JOU-6360,Ivy Corp,In Progress,Medium,Dubai,2025-12-19T14:56:09.778277Z
JOU-9654,Leo Corp,Closed,Low,London,2025-12-29T20:56:09.778293Z
JOU-1052,Alice Corp,Failed,Medium,Tokyo,2025-08-27T00:56:09.778308Z
JOU-5550,Bob Corp,Requires Action,Low,Toronto,2025-05-26T17:56:09.778322Z
JOU-5523,Grace Corp,Requires Action,Critical,Toronto,2025-04-21T16:56:09.778334Z
JOU-9200,Karen Corp,Failed,Medium,London,2025-11-26T13:56:09.778348Z
JOU-2887,Ivy Corp,Pending,Critical,London,2026-01-11T16:56:09.778360Z
JOU-6195,Karen Corp,Pending,Medium,New York,2025-05-16T12:56:09.778372Z
JOU-7110,Leo Corp,In Progress,Medium,London,2025-06-21T06:56:09.778387Z
JOU-9528,Bob Corp,Resolved,Critical,Toronto,2025-06-09T15:56:09.778400Z
JOU-2445,Frank Corp,Closed,Low,Dubai,2025-11-28T01:56:09.778413Z
JOU-3673,Eve Corp,Requires Action,High,London,2026-02-14T20:56:09.778429Z
JOU-2255,Charlie Corp,Requires Action,Critical,Dubai,2025-04-23T07:56:09.778445Z
JOU-8663,Grace Corp,Pending,Medium,Dubai,2025-03-14T04:56:09.778461Z
JOU-6242,Karen Corp,Active,High,London,2025-03-11T07:56:09.778477Z
JOU-3778,Diana Corp,Failed,Medium,Dubai,2025-03-22T00:56:09.778491Z
JOU-3867,Alice Corp,Closed,High,Toronto,2025-05-14T20:56:09.778505Z
JOU-4569,Ivy Corp,Pending,Low,Sydney,2025-07-23T20:56:09.778518Z
JOU-3382,Jack Corp,Closed,Critical,London,2025-07-29T06:56:09.778532Z
JOU-8671,Charlie Corp,In Progress,Low,London,2025-04-08T07:56:09.778546Z
JOU-5541,Diana Corp,Failed,High,London,2025-06-26T12:56:09.778559Z
JOU-5832,Charlie Corp,Resolved,High,Berlin,2025-07-13T16:56:09.778573Z
JOU-8797,Ivy Corp,Closed,Low,Tokyo,2025-05-16T14:56:09.778586Z
JOU-9371,Jack Corp,Pending,Low,Singapore,2025-12-11T16:56:09.778601Z
JOU-2996,Bob Corp,Pending,High,Singapore,2025-11-12T12:56:09.778614Z
JOU-7101,Leo Corp,Failed,Medium,Tokyo,2025-06-14T07:56:09.778628Z
JOU-3781,Leo Corp,Resolved,High,London,2025-10-06T18:56:09.778642Z
JOU-3145,Karen Corp,Requires Action,Medium,Dubai,2025-09-13T08:56:09.778658Z
JOU-1040,Grace Corp,Failed,Medium,Dubai,2025-12-18T13:56:09.778676Z
JOU-5280,Charlie Corp,Resolved,High,Tokyo,2025-10-29T05:56:09.778693Z
JOU-1436,Bob Corp,Closed,High,London,2025-06-07T16:56:09.778708Z
JOU-5976,Eve Corp,Pending,High,Sydney,2025-05-21T17:56:09.778723Z
JOU-2609,Alice Corp,Pending,High,New York,2026-02-28T03:56:09.778740Z
JOU-9798,Alice Corp,Requires Action,Critical,Singapore,2025-03-16T13:56:09.778754Z
