record_id,entity_name,status,priority,assigned_region,last_updated
LEG-4444,Karen Corp,Failed,Critical,Sydney,2026-02-22T17:56:09.781271Z
LEG-2058,Bob Corp,Pending,Low,Berlin,2025-11-24T04:56:09.781315Z
LEG-5027,Ivy Corp,Active,Low,Sydney,2025-09-19T07:56:09.781332Z
LEG-9891,Hank Corp,Requires Action,High,New York,2025-09-12T23:56:09.781347Z
LEG-5871,Charlie Corp,Active,Critical,London,2025-12-26T03:56:09.781361Z
LEG-3744,Eve Corp,Active,Medium,Tokyo,2025-04-21T23:56:09.781374Z
LEG-3535,Jack Corp,Resolved,High,London,2025-06-04T22:56:09.781389Z
LEG-1540,Charlie Corp,Resolved,Medium,Tokyo,2025-12-24T07:56:09.781479Z
LEG-4210,Hank Corp,Pending,High,London,2025-10-27T02:56:09.781499Z
LEG-9960,Leo Corp,Requires Action,Medium,Dubai,2025-05-19T19:56:09.781514Z
LEG-9200,Jack Corp,In Progress,Low,Tokyo,2025-12-06T15:56:09.781529Z
LEG-1256,Jack Corp,Active,Low,Toronto,2025-05-15T13:56:09.781546Z
LEG-4668,Eve Corp,Closed,Low,Sydney,2025-07-11T15:56:09.781562Z
LEG-1195,Bob Corp,Active,Low,London,2025-11-27T23:56:09.781577Z
LEG-5183,Eve Corp,In Progress,Critical,Tokyo,2026-01-13T12:56:09.781590Z
LEG-8685,Jack Corp,Resolved,High,Toronto,2025-07-05T22:56:09.781603Z
LEG-5731,Eve Corp,Failed,Critical,Tokyo,2025-05-10T18:56:09.781617Z
LEG-7658,Alice Corp,Failed,Medium,New York,2025-06-03T10:56:09.781630Z
LEG-5719,Charlie Corp,Requires Action,Low,Tokyo,2025-08-14T16:56:09.781643Z
LEG-5934,Leo Corp,Resolved,Critical,Dubai,2025-06-30T02:56:09.781657Z
LEG-5802,Karen Corp,Requires Action,Medium,London,2025-04-04T13:56:09.781670Z
LEG-5887,Hank Corp,Pending,High,Singapore,2025-05-06T23:56:09.781684Z
LEG-5877,Karen Corp,Resolved,Critical,London,2025-10-14T09:56:09.781697Z
LEG-4017,Jack Corp,In Progress,Critical,Berlin,2025-11-03T21:56:09.781710Z
LEG-5641,Bob Corp,Resolved,High,Sydney,2026-02-26T22:56:09.781724Z
LEG-3649,Diana Corp,Pending,Critical,Sydney,2025-07-30T09:56:09.781738Z
LEG-9769,Bob Corp,Requires Action,Critical,Sydney,2026-02-14T19:56:09.781752Z
LEG-6491,Charlie Corp,Active,Medium,Singapore,2026-02-17T06:56:09.781766Z
LEG-6331,Eve Corp,Active,Low,Singapore,2026-01-17T07:56:09.781780Z
LEG-4523,Alice Corp,In Progress,Medium,Tokyo,2025-10-28T10:56:09.781793Z
