record_id,entity_name,status,priority,assigned_region,last_updated
TOU-3496,Charlie Corp,Requires Action,Medium,Berlin,2025-06-01T08:56:09.858818Z
TOU-3847,Leo Corp,Pending,Medium,Tokyo,2025-12-10T10:56:09.858851Z
TOU-2743,Frank Corp,Closed,Low,Dubai,2026-03-09T07:56:09.858867Z
TOU-9688,Grace Corp,Failed,Critical,Singapore,2026-01-05T07:56:09.858881Z
TOU-9772,Ivy Corp,Failed,High,Sydney,2026-01-28T16:56:09.858897Z
TOU-2312,Eve Corp,Resolved,Low,Singapore,2025-04-18T22:56:09.858912Z
TOU-1345,Charlie Corp,Pending,Medium,Sydney,2025-07-01T00:56:09.858927Z
TOU-1603,Charlie Corp,Active,Critical,Berlin,2025-06-11T16:56:09.858942Z
TOU-8068,Frank Corp,Requires Action,High,Berlin,2025-10-05T23:56:09.858955Z
TOU-9228,Grace Corp,In Progress,Medium,Toronto,2025-11-15T12:56:09.858969Z
TOU-4835,Jack Corp,Active,Low,Sydney,2025-07-13T08:56:09.858983Z
TOU-9723,Eve Corp,Resolved,Critical,Toronto,2026-02-25T21:56:09.858997Z
TOU-9659,Leo Corp,Failed,Medium,Toronto,2026-02-06T04:56:09.859010Z
TOU-2154,Ivy Corp,Failed,Low,Singapore,2026-01-24T05:56:09.859023Z
TOU-5498,Diana Corp,Resolved,Critical,Sydney,2025-06-14T07:56:09.859036Z
TOU-4604,Eve Corp,Closed,Low,New York,2025-04-14T05:56:09.859050Z
TOU-5509,Ivy Corp,Resolved,Critical,London,2025-07-04T19:56:09.859064Z
TOU-8698,Alice Corp,In Progress,High,Dubai,2025-05-06T04:56:09.859078Z
TOU-4568,Charlie Corp,Active,Medium,Toronto,2025-05-13T23:56:09.859091Z
TOU-7939,Karen Corp,Resolved,Critical,London,2026-03-11T03:56:09.859103Z
TOU-8052,Alice Corp,Closed,Critical,London,2025-08-15T20:56:09.859116Z
TOU-5701,Grace Corp,Requires Action,High,Sydney,2025-06-02T00:56:09.859130Z
TOU-4439,Jack Corp,Failed,Low,New York,2025-04-11T15:56:09.859143Z
TOU-4834,Hank Corp,Closed,Medium,Tokyo,2025-11-10T09:56:09.859156Z
TOU-2042,Leo Corp,Failed,Low,Berlin,2026-02-04T19:56:09.859169Z
TOU-7037,Alice Corp,Closed,High,London,2026-02-14T19:56:09.859182Z
TOU-2812,Frank Corp,Pending,High,Tokyo,2025-08-11T12:56:09.859195Z
TOU-3179,Grace Corp,Closed,Medium,Dubai,2026-01-16T06:56:09.859208Z
TOU-3491,Bob Corp,Requires Action,High,Dubai,2026-01-11T06:56:09.859221Z
TOU-4260,Leo Corp,Resolved,High,Tokyo,2025-07-04T15:56:09.859234Z
TOU-4645,Hank Corp,Failed,High,Sydney,2025-07-27T17:56:09.859248Z
TOU-7833,Jack Corp,Pending,Critical,London,2025-05-05T00:56:09.859261Z
TOU-1344,Jack Corp,Requires Action,Medium,London,2025-05-12T15:56:09.859275Z
TOU-6093,Karen Corp,Requires Action,Critical,London,2026-01-17T14:56:09.859289Z
TOU-3825,Jack Corp,In Progress,Medium,London,2025-06-28T00:56:09.859302Z
TOU-1607,Charlie Corp,Failed,High,Singapore,2025-03-28T18:56:09.859315Z
TOU-5068,Diana Corp,Requires Action,Critical,Berlin,2025-11-19T16:56:09.859330Z
TOU-6375,Hank Corp,Resolved,High,Dubai,2025-08-14T18:56:09.859344Z
TOU-5969,Bob Corp,In Progress,Low,Berlin,2025-08-30T01:56:09.859357Z
TOU-3389,Charlie Corp,Failed,Critical,Tokyo,2025-12-26T05:56:09.859370Z
TOU-2864,Frank Corp,In Progress,High,Toronto,2026-02-24T01:56:09.859383Z
TOU-9464,Ivy Corp,Pending,Medium,Singapore,2025-08-16T18:56:09.859397Z
TOU-4627,Leo Corp,In Progress,High,Singapore,2025-12-25T01:56:09.859410Z
TOU-2590,Leo Corp,Requires Action,Low,Tokyo,2025-05-07T06:56:09.859423Z
TOU-6475,Charlie Corp,Failed,Critical,Singapore,2025-11-05T23:56:09.859436Z
TOU-2563,Alice Corp,Closed,Medium,London,2025-10-11T18:56:09.859450Z
TOU-1830,Bob Corp,Failed,Low,Toronto,2025-09-24T17:56:09.859464Z
TOU-3964,Bob Corp,Pending,Medium,Dubai,2026-01-21T20:56:09.859477Z
TOU-5839,Karen Corp,Requires Action,Low,Berlin,2025-06-18T02:56:09.859490Z
TOU-3071,Alice Corp,Failed,High,Singapore,2025-07-06T11:56:09.859504Z
TOU-4525,Charlie Corp,Requires Action,High,Tokyo,2025-05-29T00:56:09.859518Z
TOU-2664,Alice Corp,Pending,High,Dubai,2025-04-10T01:56:09.859533Z
TOU-2790,Jack Corp,Pending,Critical,Sydney,2025-11-11T11:56:09.859547Z
TOU-8570,Eve Corp,Resolved,Low,Sydney,2026-02-21T10:56:09.859561Z
TOU-8049,Alice Corp,Failed,Critical,New York,2025-08-20T05:56:09.859576Z
TOU-3744,Charlie Corp,Resolved,High,Singapore,2025-03-12T13:56:09.859589Z
TOU-1121,Frank Corp,In Progress,Critical,Tokyo,2025-05-19T14:56:09.859603Z
TOU-6729,Karen Corp,Active,Medium,Tokyo,2025-10-14T10:56:09.859617Z
TOU-8128,Bob Corp,Requires Action,Critical,Berlin,2025-06-03T04:56:09.859631Z
TOU-5136,Ivy Corp,In Progress,Critical,Berlin,2026-03-06T14:56:09.859645Z
TOU-1376,Alice Corp,Active,High,Singapore,2025-11-08T15:56:09.859658Z
TOU-4077,Bob Corp,Failed,Critical,Tokyo,2025-03-25T02:56:09.859671Z
TOU-3148,Diana Corp,Closed,Low,Berlin,2026-02-06T12:56:09.859685Z
TOU-6017,Hank Corp,Pending,Low,Berlin,2025-11-09T16:56:09.859698Z
TOU-1099,Hank Corp,Requires Action,Low,Berlin,2025-06-08T10:56:09.859710Z
TOU-6367,Ivy Corp,Pending,Critical,Tokyo,2025-05-21T00:56:09.859728Z
TOU-4176,Jack Corp,Resolved,High,Dubai,2026-01-10T08:56:09.859743Z
TOU-9679,Ivy Corp,Failed,Medium,Berlin,2025-12-27T11:56:09.859758Z
TOU-4615,Hank Corp,Pending,Low,Berlin,2025-07-18T19:56:09.859773Z
TOU-1559,Ivy Corp,Active,Low,London,2025-08-04T22:56:09.859787Z
TOU-4676,Diana Corp,Failed,Critical,Dubai,2026-02-16T03:56:09.859802Z
TOU-5455,Karen Corp,In Progress,Low,Sydney,2025-05-26T23:56:09.859816Z
